CRFF11,CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIÁRIO II,31887401000139,BRCRFFCTF006,CAIXA ECONOMICA FEDERAL,00360305000104
CXRI11,CAIXA RIO BRAVO FUNDO DE FUNDOS DE INVESTIMENTO IMOBILIARIO - FII,17098794000170,BRCXRICTF003,CAIXA ECONOMICA FEDERAL,00360305000104
CPFF11,CAPITÂNIA REIT FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO,34081611000123,BRCPFFCTF000,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
CPTS11,CAPITÂNIA SECURITIES II FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,18979895000113,BRCPTSCTF004,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,59281253000123
CBOP11,CASTELLO BRANCO OFFICE PARK FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,17144039000185,BRCBOPCTF001,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.,61809182000130
CFHI11,CF2 FUNDO DE INVESTIMENTO IMOBILIÁRIO.,34508923000170,BR045ECTF004,VORTX DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS LTDA.,22610500000188
CJCT11,CIDADE JARDIM CONTINENTAL TOWER FUNDO DE INVESTIMENTO IMOBILIÁRIO,10347985000180,BRCJCTCTF001,HEDGE INVESTMENTS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,07253654000176
HGFF11,CSHG IMOBILIÁRIO FOF - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,32784898000122,BRHGFFCTF008,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.,61809182000130
HGLG11,CSHG LOGÍSTICA - FUNDO DE INVESTIMENTO IMOBILIÁRIO - FII,11728688000147,BRHGLGCTF004,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.,61809182000130
HGPO11,CSHG PRIME OFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO FII,11260134000168,BRHGPOCTF009,CREDIT SUISSE HEDGING-GRIFFO CORRETORA DE VALORES S.A.,61809182000130
