CBOP11,Lajes Corporativas,Passiva,"90,71","5,87","77,65","62,26",446529,104852000,"0,105",129192000,1,30,"98,9","629,0","6447,0","16078,0","23,95",Div Yield ok | P/VPC horrivel | Liquidez: muito baixa | Ativos: baixo | Vacancia: ok
HGFF11,Títulos e Val. Mob.,Ativa,"98,79","5,69","98,48","61,28",835311,260559000,"0,0",285609000,0,0,"0,0","0,0","0,0","0,0","35,0",Div Yield ok | P/VPC ok | Liquidez: muito baixa | Ativos: baixo | Vacancia: N/A
HGLG11,Logística,Ativa,"147,7","9,64","182,46","102,93",7675390,3263340000,"0,053",2801930000,18,65,"68,1","58,0","1110,0","2001097,0","39,47",Div Yield muito baixo | P/VPC horrivel | Liquidez: otima | Ativos: otimo | Vacancia: otima
HGPO11,Lajes Corporativas,Passiva,"243,23","11,26","230,43","159,35",284528,361020000,"0,0",403324000,2,31,"99,9","1471,0","24301,0","14843,0","20,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: medio | Vacancia: otima
HGRE11,Lajes Corporativas,Ativa,"169,33","7,44","154,61","111,5",3597380,1707080000,"0,22399999999999998",2161510000,22,159,"99,4","584,0","8361,0","202997,0","32,76",Div Yield muito baixo | P/VPC horrivel | Liquidez: ok | Ativos: otimo | Vacancia: ok
HGCR11,Títulos e Val. Mob.,Ativa,"105,75","6,69","104,88","81,94",2987580,1296140000,"0,0",1328310000,0,0,"0,0","0,0","0,0","0,0","65,0",Div Yield ok | P/VPC otimo | Liquidez: ok | Ativos: otimo | Vacancia: N/A
HGRU11,Híbrido,Ativa,"118,07","6,15","130,6","83,56",6787890,2316820000,"0,0",2226350000,81,81,"74,3","353,0","7225,0","238220,0","50,0",Div Yield muito baixo | P/VPC ok | Liquidez: otima | Ativos: otimo | Vacancia: otima
DEVA11,Títulos e Val. Mob.,Ativa,"99,52","7,66","123,92","87,34",7018710,362075000,"0,0",306186000,0,0,"0,0","0,0","0,0","0,0","40,0",Div Yield ok | P/VPC horrivel | Liquidez: otima | Ativos: medio | Vacancia: N/A
DOVL11,Lajes Corporativas,Passiva,"926,07","30,33","0,0","0,0",0,72500900,"0,624",57759800,2,17,"95,1","397,0","4131,0","16688,0","3,76",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: muito alta
KINP11,Residencial,Ativa,"9,04","0,49","17,31","8,75",2515,95067500,"0,0",64693700,1,0,"95,2","0,0","0,0","0,0","10,0",Div Yield muito baixo | P/VPC horrivel | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
FLCR11,Títulos e Val. Mob.,Ativa,"101,44","1,75","105,98","101,89",9427,52990000,"0,0",51206100,0,0,"0,0","0,0","0,0","0,0","30,0",Div Yield muito baixo | P/VPC otimo | Liquidez: muito baixa | Ativos: extremamente baixo | Vacancia: N/A
VRTA11,Títulos e Val. Mob.,Ativa,"102,22","7,27","115,91","83,3",2932910,1140000000,"0,0",1038480000,0,0,"0,0","0,0","0,0","0,0","45,0",Div Yield ok | P/VPC horrivel | Liquidez: ok | Ativos: otimo | Vacancia: N/A
BTCR11,Títulos e Val. Mob.,Ativa,"96,46","5,46","91,19","71,5",632184,430648000,"0,0",472447000,0,0,"0,0","0,0","0,0","0,0","40,0",Div Yield ok | P/VPC ok | Liquidez: muito baixa | Ativos: medio | Vacancia: N/A
