RBBV11,Ações,Títulos e Val. Mob.
JPPA11,Ações,Títulos e Val. Mob.
JPPC11,Ações,Híbrido
JSRE11,Ações,Híbrido
KISU11,Ações,Títulos e Val. Mob.
KNHY11,Ações,Títulos e Val. Mob.
KNRE11,Ações,Residencial
KNIP11,Ações,Títulos e Val. Mob.
KNRI11,Ações,Híbrido
KNCR11,Ações,Títulos e Val. Mob.
KNSC11,Ações,Títulos e Val. Mob.
LATR11,Ações,Residencial
LASC11,Ações,Shoppings
LOFT11,Ações,Residencial
LFTT11,Ações,Residencial
LGCP11,Ações,Logística
LUGG11,Ações,Residencial
DMAC11,Ações,Residencial
MALL11,Ações,Shoppings
MXRF11,Ações,Híbrido
MFII11,Ações,Híbrido
MFAI11,Ações,Híbrido
MORE11,Ações,Títulos e Val. Mob.
DRIT11,Ações,Lajes Corporativas
NEWL11,Ações,Híbrido
NEWU11,Ações,Híbrido
FTCE11,Ações,Híbrido
OUJP11,Ações,Híbrido
ORPD11,Ações,Títulos e Val. Mob.
PQAG11,Ações,Logística
PATC11,Ações,Lajes Corporativas
PATL11,Ações,Logística
PRSN11,Ações,Residencial
PLRI11,Ações,Títulos e Val. Mob.
PORD11,Ações,Títulos e Val. Mob.
PRSV11,Ações,Lajes Corporativas
QAGR11,Ações,Lajes Corporativas
QIFF11,Ações,Títulos e Val. Mob.
RBDS11,Ações,Residencial
RBGS11,Ações,Shoppings
RBCO11,Ações,Lajes Corporativas
RRCI11,Ações,Títulos e Val. Mob.
FIIP11,Ações,Híbrido
RBRD11,Ações,Híbrido
RCRI11,Ações,Híbrido
RBRF11,Ações,Títulos e Val. Mob.
RCFF11,Ações,Títulos e Val. Mob.
RBRL11,Ações,Logística
RBIV11,Ações,Títulos e Val. Mob.
RBVO11,Ações,NULL
RBFF11,Ações,Títulos e Val. Mob.
RBRS11,Ações,Híbrido
RZAK11,Ações,Títulos e Val. Mob.
ARCT11,Ações,Híbrido
SADI11,Ações,Títulos e Val. Mob.
SARE11,Ações,Híbrido
WPLZ11,Ações,Shoppings
REIT11,Ações,Títulos e Val. Mob.
SPTW11,Ações,Lajes Corporativas
STRX11,Ações,Híbrido
TEPP11,Ações,Lajes Corporativas
TORD11,Ações,Híbrido
XTED11,Ações,Lajes Corporativas
TRXF11,Ações,Híbrido
TRXB11,Ações,Híbrido
URPR11,Ações,Outros
VGIP11,Ações,Outros
VGIR11,Ações,Títulos e Val. Mob.
EVBI11,Ações,Híbrido
RVBI11,Ações,Títulos e Val. Mob.
VCJR11,Ações,Títulos e Val. Mob.
VIFI11,Ações,Títulos e Val. Mob.
VILG11,Ações,Logística
VINO11,Ações,Lajes Corporativas
VISC11,Ações,Shoppings
VOTS11,Ações,Títulos e Val. Mob.
XPCM11,Ações,Lajes Corporativas
XPCI11,Ações,Títulos e Val. Mob.
XPHT11,Ações,Hotel
XPIN11,Ações,Outros
XPLG11,Ações,Logística
XPML11,Ações,Shoppings
XPPR11,Ações,Outros
XPSF11,Ações,Títulos e Val. Mob.
AALR3,Ações,Análises e Diagnósticos
ABCB4,Ações,Bancos
ABEV3,Ações,Cervejas e Refrigerantes
HYPE3,Ações,Medicamentos e Outros Produtos
IGBR3,Ações,Exploração de Imóveis
AFLT3,Ações,Energia Elétrica
IGTA3,Ações,Exploração de Imóveis
INEP3,Ações,Máq. e Equip. Industriais
AGRO3,Ações,Agricultura
INEP4,Ações,Máq. e Equip. Industriais
IRBR3,Ações,Seguradoras
ITSA3,Ações,Bancos
ALPA3,Ações,Calçados
ALPA4,Ações,Calçados
