ALSO3,Exploração de Imóveis,"21,16",[3],6086200000,4782410000,41253200,"22,9","0,92","14,92","6,59","0,56","4,25","-4,26","0,0","8,09","11,73","0,267","1,0","24,77","0,6779999999999999","0,442","0,304","0,038","0,043","0,04",10857100000,0,-1303790000,6583830000,"35,0",P/L Ok | Divida Liq. negativa | DY Ruim | P/VP Otimo
ALUP3,Energia Elétrica,"7,9",[3],6988930000,13403100000,133360,"11,67","1,27","3,15","1,37","0,34","3,29","-0,84","0,028999999999999998","5,68","6,04","0,392","0,68","6,26","0,462","0,435","0,26899999999999996","0,107","0,12300000000000001","0,109",20829400000,8776490000,6414200000,5501730000,"10,0",P/L Bom | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
ALUP4,Energia Elétrica,"5,27",[3],6751570000,13165800000,196892,"11,28","1,23","3,04","1,32","0,32","3,17","-0,81","0,03","5,58","5,93","0,392","0,68","6,26","0,462","0,435","0,26899999999999996","0,107","0,12300000000000001","0,109",20829400000,8776490000,6414200000,5501730000,"10,0",P/L Bom | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
AMAR3,"Tecidos, Vestuário e Calçados","3,76",[3],1334500000,2331130000,29272200,"-3,24","1,3","15,5","0,59","0,44","3,81","-2,72","0,0","6,02","27,08","-0,055","-1,57","3,92","0,39799999999999996","0,038","-0,21","0,028999999999999998","0,035","-0,401",3008530000,1315400000,996633000,1025060000,"0,0",P/L Ruim | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
ITUB3,Bancos,"19,27",[3],230593000000,N/A,18419500,"12,16","1,69",N/A,N/A,N/A,N/A,N/A,"0,021",N/A,N/A,"-0,3","1,93","13,94",N/A,N/A,"0,0","0,0",N/A,"0,139",210399000000,0,136699000000,N/A,"30,0",P/L Bom | Patrim. Liq. nao disponivel | DY Ruim | P/VP Ruim
ANIM3,Serviços Educacionais,"5,19",[3],3449040000,3988570000,25118800,"-94,94","2,08","16,79","2,52","0,93","3,98","-4,72","0,0","11,43","19,41","0,096","-0,09","4,1","0,495","0,15","-0,026000000000000002","0,055","0,07200000000000001","-0,022000000000000002",3702600000,1329280000,539526000,1656830000,"10,0",P/L Ruim | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
APER3,Corretoras de Seguros,"11,96",[3],502365000,450118000,2738990,"4925,15","2,81","-1504,09","4,99","1,71","13,86","-13,61","0,001","70,0","-1347,66","-0,081","0,01","15,6","1,0","-0,003","0,001","-0,001","-0,001","0,001",294549000,0,-52247000,179079000,"20,0",P/L Ruim | Divida Liq. negativa | DY Ruim | P/VP Ruim
APTI4,Agricultura,"0,0",[3],66500000,74491000,0,"1,18","0,22","-2,41","3,41","0,14","3,25","-0,6","0,0","-2,5","-2,7","-0,08900000000000001","2955,68","15616,9","0,5479999999999999","-1,412","2,877","-0,055999999999999994","-0,062","0,18899999999999997",491357000,52559000,7991000,296722000,"30,0",P/L Otimo | Divida Liq./Patrim Bom | DY Ruim | P/VP Ruim
ARZZ3,"Tecidos, Vestuário e Calçados","32,71",[3],7156490000,7137500000,45756600,"237,04","10,26","557,88","5,06","4,0","13,61","28,28","0,006999999999999999","76,83","556,4","0,057","0,3","7,0","0,465","0,009000000000000001","0,021","0,006999999999999999","0,013000000000000001","0,043",1788270000,547245000,-19000000,697259000,"20,0",P/L Ruim | Divida Liq. negativa | DY Ruim | P/VP Ruim
AZEV3,Construção Pesada,"1,12",[3],124938000,155496000,844414,"0,0","-0,47",N/A,N/A,"2,02","-0,63","-0,43","0,0",N/A,N/A,"-0,449","0,0","-13,3",N/A,N/A,N/A,"0,0",N/A,N/A,61710000,30748000,30558000,-263291000,"10,0", | P/L zero | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
AZEV4,Construção Pesada,"1,32",[3],73854000,104412000,1078780,"0,0","-0,28",N/A,N/A,"1,2","-0,37","-0,25","0,0",N/A,N/A,"-0,449","0,0","-13,3",N/A,N/A,N/A,"0,0",N/A,N/A,61710000,30748000,30558000,-263291000,"10,0", | P/L zero | Divida Liq./Patrim Ruim | DY Ruim | P/VP Ruim
B3SA3,Serviços Financeiros Diversos,"29,26",[3],115332000000,107578000000,813779000,"30,44","4,62","22,86","13,7","2,54","15,26","-27,06","0,038","17,71","21,32","0,381","1,84","12,13","0,912","0,599","0,45","0,111","0,165","0,152",45378400000,6882320000,-7754040000,24976800000,"20,0",P/L Ruim | Divida Liq. negativa | DY Ruim | P/VP Ruim
