Data/hora da geração:,25/02/2021,09:08:36
Codigo Ativo,Tipo Provento,Data de Anuncio,Data de Pagamento,Valor
FIIB11,Rendimento,29/01/2021,10/02/2021,"2,89"
LFTT11,Rendimento,30/09/2020,15/10/2020,"1,28"
LFTT11,Rendimento,30/12/2020,15/01/2021,"2,02"
FINF11,Rendimento,28/02/2020,06/03/2020,"0,33"
FINF11,Rendimento,16/04/2020,24/04/2020,"0,19"
FINF11,Rendimento,07/05/2020,14/05/2020,"0,2"
FINF11,Rendimento,09/06/2020,18/06/2020,"0,26"
FINF11,Rendimento,08/07/2020,15/07/2020,"1,83"
FINF11,Rendimento,11/08/2020,18/08/2020,"0,49"
FINF11,Rendimento,09/09/2020,16/09/2020,"0,49"
FINF11,Rendimento,07/10/2020,15/10/2020,"0,49"
FINF11,Rendimento,09/11/2020,16/11/2020,"0,49"
FINF11,Rendimento,07/12/2020,14/12/2020,"0,49"
FINF11,Rendimento,30/11/2020,14/12/2020,"0,13"
FINF11,Rendimento,08/01/2021,15/01/2021,"0,49"
FINF11,Rendimento,30/12/2020,15/01/2021,"0,17"
FINF11,Rendimento,05/02/2021,12/02/2021,"0,49"
FINF11,Rendimento,29/01/2021,12/02/2021,"0,11"
LGCP11,Rendimento,28/02/2020,13/03/2020,"0,46"
LGCP11,Rendimento,31/03/2020,15/04/2020,"0,45"
LGCP11,Rendimento,30/04/2020,15/05/2020,"0,48"
LGCP11,Rendimento,29/05/2020,15/06/2020,"0,47"
LGCP11,Rendimento,30/06/2020,15/07/2020,"0,47"
LGCP11,Rendimento,31/07/2020,14/08/2020,"0,44"
LGCP11,Rendimento,31/08/2020,15/09/2020,"0,52"
LGCP11,Rendimento,30/09/2020,15/10/2020,"0,53"
LGCP11,Rendimento,30/10/2020,13/11/2020,"0,55"
LGCP11,Rendimento,30/11/2020,15/12/2020,"0,54"
LGCP11,Rendimento,30/12/2020,15/01/2021,"0,33"
LGCP11,Rendimento,29/01/2021,12/02/2021,"0,5"
FMOF11,Rendimento,30/06/2020,17/07/2020,"0,43"
FMOF11,Rendimento,30/12/2020,15/01/2021,"0,65"
AIEC11,Rendimento,30/10/2020,10/11/2020,"0,54"
AIEC11,Rendimento,30/11/2020,08/12/2020,"0,57"
AIEC11,Rendimento,30/12/2020,11/01/2021,"0,57"
AIEC11,Rendimento,29/01/2021,08/02/2021,"0,56"
MBRF11,Rendimento,05/03/2020,13/03/2020,"8,5"
MBRF11,Rendimento,07/04/2020,15/04/2020,"8,5"
MBRF11,Rendimento,07/05/2020,15/05/2020,"8,5"
MBRF11,Rendimento,04/06/2020,15/06/2020,"9,0"
MBRF11,Rendimento,06/07/2020,15/07/2020,"9,0"
MBRF11,Rendimento,06/08/2020,14/08/2020,"9,0"
